meta,text,stats,simhash
"{'pmid': 11409574, 'language': 'eng'}","Epidemiology of hypoxaemia in children with acute lower respiratory infection.
To determine the prevalence of hypoxaemia in children aged under 5 years suffering acute lower respiratory infections (ALRI), the risk factors for hypoxaemia in children under 5 years of age with ALRI, and the association of hypoxaemia with an increased risk of dying in children of the same age. Systematic review of the published literature. Out-patient clinics, emergency departments and hospitalisation wards in 23 health centres from 10 countries. Cohort studies reporting the frequency of hypoxaemia in children under 5 years of age with ALRI, and the association between hypoxaemia and the risk of dying. Prevalence of hypoxaemia measured in children with ARI and relative risks for the association between the severity of illness and the frequency of hypoxaemia, and between hypoxaemia and the risk of dying. Seventeen published studies were found that included 4,021 children under 5 with acute respiratory infections (ARI) and reported the prevalence of hypoxaemia. Out-patient children and those with a clinical diagnosis of upper ARI had a low risk of hypoxaemia (pooled estimate of 6% to 9%). The prevalence increased to 31% and to 43% in patients in emergency departments and in cases with clinical pneumonia, respectively, and it was even higher among hospitalised children (47%) and in those with radiographically confirmed pneumonia (72%). The cumulated data also suggest that hypoxaemia is more frequent in children living at high altitude. Three papers reported an association between hypoxaemia and death, with relative risks varying between 1.4 and 4.6. Papers describing predictors of hypoxaemia have focused on clinical signs for detecting hypoxaemia rather than on identifying risk factors for developing this complication. Hypoxaemia is a common and potentially lethal complication of ALRI in children under 5, particularly among those with severe disease and those living at high altitude. Given the observed high prevalence of hypoxaemia and its likely association with increased mortality, efforts should be made to improve the detection of hypoxaemia and to provide oxygen earlier to more children with severe ALRI.","{'alnum_ratio': 0.8290598291, 'avg_line_length': 1111.5, 'char_rep_ratio': 0.1147244806, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9518523216, 'max_line_length': 2144, 'num_words': 406, 'perplexity': 746.9, 'special_char_ratio': 0.1830859199, 'text_len': 2223, 'word_rep_ratio': 0.0352644836}",1.4606482302595758e+19
"{'pmid': 11409575, 'language': 'eng'}","Clinical signs of hypoxaemia in children with acute lower respiratory infection: indicators of oxygen therapy.
Hypoxaemia is a common complication of acute lower respiratory tract infections in children. In most developing countries, where the majority of deaths from pneumonia occur, facilities for early detection of hypoxaemia are lacking and oxygen is in short supply. This review examines the usefulness of different clinical signs and symptoms in the prediction of hypoxaemia associated with acute respiratory infections in children. Several respiratory signs were found to be associated with hypoxaemia. These include very fast breathing (with a respiratory rate of more than 60 or 70 breaths per minute), cyanosis, grunting, nasal flaring, chest retractions, head nodding and auscultatory signs, as well as signs of general depression of the child, such as inability to feed or lethargy. The sensitivity and specificity of these signs, as described in the reviewed studies, is presented, and combination rules are discussed. Through appropriate combination of several physical signs, which can be used by peripheral health workers and be taught to mothers, it is possible to predict hypoxaemia in children with acute respiratory tract infections with reasonable accuracy.","{'alnum_ratio': 0.8334636435, 'avg_line_length': 639.5, 'char_rep_ratio': 0.0858267717, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9608361721, 'max_line_length': 1168, 'num_words': 223, 'perplexity': 253.9, 'special_char_ratio': 0.1696637998, 'text_len': 1279, 'word_rep_ratio': 0.0}",1.503772719330205e+19
"{'pmid': 11409576, 'language': 'eng'}","Hypoxaemia in children with severe pneumonia in Papua New Guinea.
To investigate the severity and duration of hypoxaemia in 703 children with severe or very severe pneumonia presenting to Goroka Hospital in the Papua New Guinea highlands; to study the predictive value of clinical signs for the severity of hypoxaemia, the predictive value of transcutaneous oxygen saturation (SpO2) and other variables for mortality. Prospective evaluation of children with severe or very severe pneumonia. SpO2 was measured at the time of presentation and every day until hypoxaemia resolved. Children with a SpO2 less than 85% received supplemental oxygen. By comparing with a retrospective control group for whom oxygen administration was guided by clinical signs, we evaluated whether there was a survival advantage from using a protocol for the administration of oxygen based on pulse oximetry. We determined normal values for oxygen saturation in children living in the highlands. In 151 well, normal highland children, the mean SpO2 was 95.7% (SD 2.7%). The median SpO2 among children with severe or very severe pneumonia was 70% (56-77); 376 (53.5%) had moderate hypoxaemia (SpO2 70-84%); 202 (28.7%) had severe hypoxaemia (SpO2 50-69%); and 125 (17.8%) had very severe hypoxaemia (SpO2 < 50%). Longer duration of cough or the presence of hepatomegaly or cyanosis predicted more severe degrees of hypoxaemia. After 10, 20 and 30 days from the beginning of treatment, respectively 102 (14.5%), 38 (5.4%) and 19 (2.7%) of children had persistent hypoxaemia; 46 children (6.5%) died. Predictors of death were low SpO2 on presentation, severe malnutrition, measles and history of cough for more than 7 days. The mortality risk ratio between the 703 children managed whose oxygen administration was guided by the use of pulse oximetry and the retrospective control group who received supplemental oxygen based on clinical signs was 0.65 (95%CI 0.41-1.02, two-sided Fisher's exact test, P = 0.07). There is a need to increase the availability of supplemental oxygen in smaller health facilities in developing countries, and to train health workers to recognise the clinical signs and risk factors for hypoxaemia. In moderate sized hospitals a protocol for the administration of oxygen based on pulse oximetry may improve survival.","{'alnum_ratio': 0.8044041451, 'avg_line_length': 1158.0, 'char_rep_ratio': 0.0827915041, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9488483667, 'max_line_length': 2250, 'num_words': 422, 'perplexity': 1639.2, 'special_char_ratio': 0.23791019, 'text_len': 2316, 'word_rep_ratio': 0.01937046}",2.74976621592413e+18
"{'pmid': 11409577, 'language': 'eng'}","Oxygen concentrators and cylinders.
A comparison is made between oxygen cylinders and oxygen concentrators as sources for clinical use. Oxygen cylinders are in widespread use, but costs and logistic factors favour the use of concentrators in many developing country situations, especially where cylinder supplies fail to penetrate.","{'alnum_ratio': 0.8459214502, 'avg_line_length': 165.5, 'char_rep_ratio': 0.1273291925, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9528582692, 'max_line_length': 295, 'num_words': 57, 'perplexity': 337.0, 'special_char_ratio': 0.1540785498, 'text_len': 331, 'word_rep_ratio': 0.0}",1.4418547397263198e+19
"{'pmid': 11409578, 'language': 'eng'}","Oxygen supply in rural africa: a personal experience.
Oxygen is one of the essential medical supplies in any hospital setting. However, in some rural African settings without regular electricity and with logistical problems in the transport of oxygen cylinders, the delivery of oxygen can be difficult. This paper compares the costs incurred using oxygen cylinders with a solar operated oxygen concentrator in a rural Gambian setting. The paper shows that a solar operated system has a high capital investment initially, but that running costs and maintenance are minimal. The system becomes cost effective if a rural hospital needs more than 6 treatment days (1 l/min) of oxygen per month and can be considered in a setting where 6 hours of sunlight per day can be guaranteed.","{'alnum_ratio': 0.8223938224, 'avg_line_length': 388.5, 'char_rep_ratio': 0.0677083333, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.939884901, 'max_line_length': 723, 'num_words': 135, 'perplexity': 418.4, 'special_char_ratio': 0.1814671815, 'text_len': 777, 'word_rep_ratio': 0.0}",7.673824521730311e+18
"{'pmid': 11409579, 'language': 'eng'}","Oxygen delivery to children with hypoxaemia in small hospitals in developing countries.
Oxygen administration is one of the most important modalities of therapy for a patient with hypoxaemia to prevent death. This review summarises the methods of oxygen delivery applicable in small hospitals in developing countries, and evaluates information about their safety and efficacy. The following criteria were considered: cost and availability, efficiency/oxygen concentration achieved, tolerability/comfort of the method, requirement of humidification, demand for nursing care, and safety of the method and complications. In summary, it is concluded that all low-flow methods, i.e., nasopharyngeal catheters, nasal catheters and prongs, are effective in the oxygenation of sick children with severe pneumonia or bronchiolitis. Nasal prongs are the safest method of oxygen delivery, but nasopharyngeal catheters and nasal catheters are more easily available and less expensive. However, if they are used, they need close supervision to avoid serious complications. Nasal prongs are the method of choice for oxygen delivery in small hospitals in developing countries.","{'alnum_ratio': 0.8363479759, 'avg_line_length': 580.5, 'char_rep_ratio': 0.0894097222, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.940002799, 'max_line_length': 1073, 'num_words': 200, 'perplexity': 274.5, 'special_char_ratio': 0.1636520241, 'text_len': 1161, 'word_rep_ratio': 0.0}",6.761526359944027e+18
"{'pmid': 11409580, 'language': 'eng'}","The early bactericidal activity of amikacin in pulmonary tuberculosis.
Stellenbosch University, a tertiary care hospital in Cape Town, South Africa. To determine the early bactericidal activity (EBA) of amikacin in dosages of 5 mg/kg, 10 mg/kg and 15 mg/kg body weight in comparison to that of isoniazid 6 mg/kg body weight or no drug. An open, randomised trial. Patients with previously untreated, sputum smear-positive pulmonary tuberculosis. Patients received amikacin 5 mg/kg (12 patients), 10 mg/kg (13 patients) or 15 mg/kg (15 patients), isoniazid 6 mg/kg (9 patients) or no drug (10 patients). The rate of decrease in log viable colony forming units of Mycobacterium tuberculosis per ml of sputum per day during the first 2 days of treatment with amikacin 5 mg/kg, 10 mg/kg and 15 mg/kg was 0.041 (SD 0.100), 0.045 (SD 0.144) and 0.052 (SD 0.096), respectively, 0.515 (SD 0.173) in the patients receiving isoniazid 6 mg/kg, and 0.041 (SD 0.113) in those receiving no drug. The EBA found in patients receiving amikacin did not differ significantly from that of the no drug group. However, as the EBA in the no drug group was the highest ever encountered at Stellenbosch University, the mean in patients receiving drug was tested against 0 and found to differ significantly (P = 0.03), suggesting minimal activity. Mean amikacin serum concentrations 1 hour after intramuscular drug administration were 13.5 microg/ml, 26.7 microg/ml and 39.2 microg/ml in the patients receiving 5 mg, 10 mg and 15 mg per kg body weight, respectively. Despite serum concentrations well in excess of the minimal inhibitory concentration of 2-4 microg/ml, the EBA of amikacin in patients with smear-positive pulmonary tuberculosis was only just detectable.","{'alnum_ratio': 0.7916188289, 'avg_line_length': 871.0, 'char_rep_ratio': 0.0813618003, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.879021883, 'max_line_length': 1671, 'num_words': 369, 'perplexity': 756.7, 'special_char_ratio': 0.2594718714, 'text_len': 1742, 'word_rep_ratio': 0.0055555556}",1.7050269122229228e+19
"{'pmid': 11409581, 'language': 'eng'}","The relationship between the in vitro drug susceptibility of opportunist mycobacteria and their in vivo response to treatment.
It is generally accepted that qualitative drug susceptibility tests established and validated for Mycobacterium tuberculosis are not applicable to opportunist (non-tuberculous) mycobacteria. Previous studies have shown that in vitro antimicrobial susceptibilities for opportunist mycobacteria, performed by the method of modal resistance (MR), correlate poorly with clinical response. Minimum inhibitory concentration (MIC) determination may provide better correlation with predicted clinical response than the conventional MR results. To determine the relationship between quantitative in vitro sensitivity results for opportunist mycobacteria and their in vivo response to treatment. MICs were performed radiometrically with the Bactec TB-460 system; 35 M. avium complex isolates, 29 isolates of M. malmoense and 16 isolates of M. xenopi were tested. Susceptibility results were analysed in comparison with therapeutic outcome by Fisher's exact probability test. Only one significant association was found; in vitro resistance to ethambutol correlated with treatment failure for M. malmoense infections (P = 0.027). There were no other significant correlations between in vitro results and treatment outcome. Prediction of treatment outcome from in vitro susceptibility tests continues to be a problem in infections with opportunist mycobacteria.","{'alnum_ratio': 0.8447457627, 'avg_line_length': 737.5, 'char_rep_ratio': 0.0954979536, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9407873154, 'max_line_length': 1348, 'num_words': 260, 'perplexity': 579.7, 'special_char_ratio': 0.1640677966, 'text_len': 1475, 'word_rep_ratio': 0.03187251}",2.880101976804274e+18
"{'pmid': 11409582, 'language': 'eng'}","Increased resistance to ciprofloxacin and ofloxacin in multidrug-resistant mycobacterium tuberculosis isolates from patients seen at a tertiary hospital in the Philippines.
A hospital-based study at the Makati Medical Center, Makati City, Philippines, a hyperendemic area for tuberculosis (TB). To determine the susceptibility of Mycobacterium tuberculosis to ciprofloxacin and ofloxacin. Retrospective analysis of drug susceptibility tests (DST) of M. tuberculosis isolated from 1995-2000. Resistance to ciprofloxacin was 26.8%, ofloxacin 35.3%, and multidrug resistance (MDR) was 17.2%. Of the MDR strains, 51.4% were resistant to ciprofloxacin and ofloxacin. Acquired resistance was significantly higher for all first-line drugs and for ciprofloxacin, but not for ofloxacin. A significant increase in resistance to ciprofloxacin and ofloxacin was noted compared to 1989-1994, while resistance to the firstline drugs was not significantly different. Ciprofloxacin and ofloxacin are now a significantly less effective alternative therapy in tuberculosis, particularly MDR-TB, due to a selection pressure from their widespread use in the treatment of TB and possibly other infections in the community, which is hyperendemic for tuberculosis.","{'alnum_ratio': 0.833199033, 'avg_line_length': 620.5, 'char_rep_ratio': 0.1412337662, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9486528635, 'max_line_length': 1068, 'num_words': 246, 'perplexity': 303.4, 'special_char_ratio': 0.1893634166, 'text_len': 1241, 'word_rep_ratio': 0.0464135021}",2.882101392220129e+18
"{'pmid': 11409583, 'language': 'eng'}","Familial outbreak of disseminated multidrug-resistant tuberculosis and meningitis.
Rapidly progressive multidrug-resistant tuberculosis (MDR-TB) is well documented in human immunodeficiency virus (HIV) positive subjects, but it is not fully recognised in HIV-negative subjects in the familial environment. We report three cases of MDR-TB in three young HIV-negative subjects from the same family. All the patients showed signs of meningitis during the course of their disease, and in two cases a resistant strain of Mycobacterium tuberculosis was isolated in cerebrospinal fluid. Two of the three subjects died from neurological complications; the other was successful treated utilising both systemic and intrathecal therapy for tuberculous meningitis. By a retrospective analysis of DNA obtained from Lowenstein-Jensen cultures, the strains were confirmed as M. tuberculosis resistant to rifampicin and isoniazid, and were closely related in the two cases where specimens were available for analysis. The resistance was acquired in two patients initially infected with a susceptible strain; in the other patient, the resistance was present on the first sensitivity test for which results were available. This report demonstrates the high risk of fatality from MDR-TB for HIV-negative subjects in the absence of reliable early diagnostic and preventive tools. It also reinforces the concept that genetic susceptibility to M. tuberculosis may be an important factor in the clinical presentation and outcome of MDR-TB.","{'alnum_ratio': 0.8370712401, 'avg_line_length': 758.0, 'char_rep_ratio': 0.0763105508, 'flagged_words_ratio': 0.0, 'lang': 'en', 'lang_score': 0.9566720724, 'max_line_length': 1433, 'num_words': 266, 'perplexity': 187.2, 'special_char_ratio': 0.1629287599, 'text_len': 1516, 'word_rep_ratio': 0.0}",3.356313481448163e+18
